lsip_code,lsip_name
E69000001,"Brighton and Hove, East Sussex, West Sussex"
E69000002,Buckinghamshire 
E69000003,Cambridgeshire and Peterborough 
E69000004,Cheshire and Warrington 
E69000005,Cornwall and the Isles of Scilly 
E69000006,Cumbria 
E69000007,Derbyshire and Nottinghamshire 
E69000008,Dorset 
E69000009,Enterprise M3 
E69000010,"Essex, Southend-on-Sea and Thurrock "
E69000011,G First (Gloucestershire) 
E69000012,Greater Lincolnshire 
E69000013,Greater London 
E69000014,Greater Manchester 
E69000015,Heart of the South-West 
E69000016,Hertfordshire 
E69000017,Hull and East Yorkshire 
E69000018,Kent and Medway 
E69000019,Lancashire 
E69000020,Leicester and Leicestershire 
E69000021,Liverpool City Region 
E69000022,New Anglia 
E69000023,North East 
E69000024,North of Tyne 
E69000025,Oxfordshire 
E69000026,Solent 
E69000027,South-East Midlands 
E69000028,South Yorkshire 
E69000029,Stoke-on-Trent and Staffordshire 
E69000030,Swindon and Wiltshire 
E69000031,Tees Valley 
E69000032,Thames Valley Berkshire 
E69000033,The Marches 
E69000034,West Midlands and Warwickshire 
E69000035,Worcestershire 
E69000036,West of England and North Somerset 
E69000037,West Yorkshire 
E69000038,York and North Yorkshire 
