peia_name,lad_code,lad_name,la_code,la_name
Blackpool,E06000009,Blackpool,E06000009,Blackpool
Bradford,E08000032,Bradford,E08000032,Bradford
Derby,E06000015,Derby,E06000015,Derby
Doncaster,E08000017,Doncaster,E08000017,Doncaster
Halton,z,z,E06000006,Halton
Hartlepool,z,z,E06000001,Hartlepool
Knowsley,z,z,E08000011,Knowsley
Liverpool,z,z,E08000012,Liverpool
Middlesbrough,z,z,E06000002,Middlesbrough
Nottingham,z,z,E06000018,Nottingham
Oldham,E08000004,Oldham,E08000004,Oldham
Portsmouth,z,z,E06000044,Portsmouth
Rochdale,z,z,E08000005,Rochdale
Salford,z,z,E08000006,Salford
Sandwell,z,z,E08000028,Sandwell
Stoke-on-Trent,E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent
Tameside,z,z,E08000008,Tameside
Walsall,z,z,E08000030,Walsall
Fenland and East Cambridgeshire combined,E07000010 / E07000009,Fenland / East Cambridgeshire,E10000003,Cambridgeshire
Hastings,E07000062,Hastings,E10000011,East Sussex
Ipswich,E07000202,Ipswich,E10000029,Suffolk
Norwich,E07000148,Norwich,E10000020,Norfolk
Scarborough,E07000168,Scarborough,E06000065,North Yorkshire
West Somerset,E07000191,West Somerset,E06000066,Somerset
