pfa_code,pfa_name,status,date_active,date_terminated
E23000001,Metropolitan Police,active,,
E23000002,Cumbria,active,,
E23000003,Lancashire,active,,
E23000004,Merseyside,active,,
E23000005,Greater Manchester,active,,
E23000006,Cheshire,active,,
E23000007,Northumbria,active,,
E23000008,Durham,active,,
E23000009,North Yorkshire,active,,
E23000010,West Yorkshire,active,,
E23000011,South Yorkshire,active,,
E23000012,Humberside,active,,
E23000013,Cleveland,active,,
E23000014,West Midlands,active,,
E23000015,Staffordshire,active,,
E23000016,West Mercia,active,,
E23000017,Warwickshire,active,,
E23000018,Derbyshire,active,,
E23000019,Nottinghamshire,active,,
E23000020,Lincolnshire,active,,
E23000021,Leicestershire,active,,
E23000022,Northamptonshire,active,,
E23000023,Cambridgeshire,active,,
E23000024,Norfolk,active,,
E23000025,Suffolk,active,,
E23000026,Bedfordshire,active,,
E23000027,Hertfordshire,active,,
E23000028,Essex,active,,
E23000029,Thames Valley,active,,
E23000030,Hampshire,active,,
E23000031,Surrey,active,,
E23000032,Kent,active,,
E23000033,Sussex,active,,
E23000034,"London, City of",active,,
E23000035,Devon & Cornwall,active,,
E23000036,Avon and Somerset,active,,
E23000037,Gloucestershire,active,,
E23000038,Wiltshire,active,,
E23000039,Dorset,active,,
L99999999,Pseudo Channel Islands,active,,
M99999999,Pseudo Isle of Man,active,,
N23000001,Police Service of Northern Ireland,active,,
S23000009,Scotland,active,,
W15000001,North Wales,active,,
W15000002,Gwent,active,,
W15000003,South Wales,active,,
W15000004,Dyfed-Powys,active,,
